name,symbol,tier,watchlist,exchange,chart_usd,chart_btc,spot_usd,spot_btc,perps
DAR,DARUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADARUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADARBTC,https://www.binance.com/en/trade/DAR_USDT,https://www.binance.com/en/trade/DAR_BTC,https://www.binance.com/en/futures/DARUSDT
DASH,DASHUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADASHUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADASHBTC,https://www.binance.com/en/trade/DASH_USDT,https://www.binance.com/en/trade/DASH_BTC,https://www.binance.com/en/futures/DASHUSDT
DATA,DATAUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADATAUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADATABTC,https://www.binance.com/en/trade/DATA_USDT,https://www.binance.com/en/trade/DATA_BTC,
DCR,DCRUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADCRUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADCRBTC,https://www.binance.com/en/trade/DCR_USDT,https://www.binance.com/en/trade/DCR_BTC,
DEFI,DEFIUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADEFIUSDT.P,,,,https://www.binance.com/en/futures/DEFIUSDT
DEGO,DEGOUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADEGOUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADEGOBTC,https://www.binance.com/en/trade/DEGO_USDT,https://www.binance.com/en/trade/DEGO_BTC,
DENT,DENTUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADENTUSDT,,https://www.binance.com/en/trade/DENT_USDT,,https://www.binance.com/en/futures/DENTUSDT
DEXE,DEXEUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADEXEUSDT,,https://www.binance.com/en/trade/DEXE_USDT,,
DF,DFUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADFUSDT,,https://www.binance.com/en/trade/DF_USDT,,
DGB,DGBUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADGBUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADGBBTC,https://www.binance.com/en/trade/DGB_USDT,https://www.binance.com/en/trade/DGB_BTC,
